IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
104.19.101.223,2087,true,LAX,北美洲,US,美国,洛杉矶,8 ms,150.05
104.19.10.85,2053,true,LAX,北美洲,US,美国,洛杉矶,9 ms,149.99
104.17.188.3,2083,true,SJC,北美洲,US,美国,圣何塞,17 ms,118.82
162.159.153.144,443,true,LAX,北美洲,US,美国,洛杉矶,9 ms,116.44
198.41.205.3,2083,true,LAX,北美洲,US,美国,洛杉矶,8 ms,116.27
104.18.233.110,2087,true,SJC,北美洲,US,美国,圣何塞,17 ms,115.27
104.18.204.235,2053,true,SJC,北美洲,US,美国,圣何塞,17 ms,111.09
185.65.149.44,443,true,SJC,北美洲,US,美国,圣何塞,17 ms,109.34
104.16.168.174,8443,true,SJC,北美洲,US,美国,圣何塞,16 ms,108.65
104.16.218.11,2096,true,SJC,北美洲,US,美国,圣何塞,16 ms,103.76
104.19.77.64,443,true,LAX,北美洲,US,美国,洛杉矶,9 ms,102.49
66.103.210.62,443,true,LAX,北美洲,US,美国,洛杉矶,8 ms,74.48
64.64.248.18,443,true,LAX,北美洲,US,美国,洛杉矶,8 ms,68.88
148.135.15.148,443,true,LAX,北美洲,US,美国,洛杉矶,9 ms,67.94
148.135.76.112,443,true,LAX,北美洲,US,美国,洛杉矶,8 ms,58.52
38.78.145.30,443,true,LAX,北美洲,US,美国,洛杉矶,9 ms,28.97
181.36.229.212,443,true,SDQ,北美洲,DO,多米尼加,圣多明各,78 ms,28.82
91.194.160.79,2053,true,NRT,亚太,JP,日本,东京,118 ms,22.27
91.194.160.79,8443,true,NRT,亚太,JP,日本,东京,115 ms,21.44
207.148.105.247,443,true,NRT,亚太,JP,日本,东京,108 ms,21.17
45.77.9.114,443,true,NRT,亚太,JP,日本,东京,108 ms,20.42
108.160.139.154,8443,true,NRT,亚太,JP,日本,东京,108 ms,20.24
13.230.34.30,443,true,NRT,亚太,JP,日本,东京,109 ms,19.25
167.179.74.220,2053,true,NRT,亚太,JP,日本,东京,108 ms,18.24
103.75.118.144,2053,true,NRT,亚太,JP,日本,东京,108 ms,16.52
158.179.171.53,443,true,ICN,亚太,KR,韩国,首尔,136 ms,16.52
108.61.247.158,8443,true,NRT,亚太,JP,日本,东京,111 ms,16.32
168.138.194.74,443,true,NRT,亚太,JP,日本,东京,108 ms,16.17
154.31.113.72,443,true,NRT,亚太,JP,日本,东京,108 ms,15.80
45.12.134.250,8443,true,NRT,亚太,JP,日本,东京,116 ms,15.79
217.142.236.93,443,true,KIX,亚太,JP,日本,大阪,116 ms,15.74
141.11.86.226,8443,true,TPE,亚太,TW,台湾,台北,139 ms,15.73
52.141.25.42,443,true,ICN,亚太,KR,韩国,首尔,133 ms,15.10
192.243.127.224,443,true,KIX,亚太,JP,日本,大阪,114 ms,14.98
202.144.192.76,443,true,NRT,亚太,JP,日本,东京,123 ms,14.83
103.113.69.99,443,true,WAW,欧洲,PL,波兰,华沙,161 ms,14.48
186.67.70.55,443,true,SCL,南美,CL,智利,圣地亚哥,139 ms,14.17
163.47.9.27,2053,true,SIN,亚太,SG,新加坡,新加坡,175 ms,14.08
163.47.9.27,8443,true,SIN,亚太,SG,新加坡,新加坡,174 ms,13.93
128.199.171.100,8443,true,SIN,亚太,SG,新加坡,新加坡,181 ms,13.66
91.194.160.45,8443,true,NRT,亚太,JP,日本,东京,118 ms,13.58
132.145.94.80,443,true,ICN,亚太,KR,韩国,首尔,133 ms,13.56
